Created at,Visitor ID,Session ID,Labels,URLs,Device type,Top task,"Hva kom du til nettsiden for?","Annet: Hva kom du til nettsiden for?","Fikk du gjort det du kom for? ","Hvem besøker du nettsiden som nå?","Annet: Hvem besøker du nettsiden som nå?","Hva hindret deg i å få gjort det du kom for","Annet: Hva hindret deg i å få gjort det du kom for?","Hva gjør du for å få fullført det du skulle?","Har du noe mer å dele med oss?"
"14. Nov 2025 14:34:57",,01KA1CMJP220PHBF9BAD0JPQBV,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,true,"Musiker / Artist",,,,,
"08. Sep 2025 10:05:05",01K4MCC9742GSK01MD53ZZGTN7,01K4MCJ0DJE6WP07NYKR5D7DCC,,https://www.gramo.no/toppoppgaver,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,false,"Musiker / Artist som gir ut musikk selv",,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo","Jeg vil utrykke meg på jobben med AI generert musikk. (som jeg ihht Suno har rettighet til) Kan jeg gjøre dette vederlagsfritt siden dette er AI generert musikk?"
"13. Oct 2025 17:05:19",01K7F88QRCVKS0FG5P1ZVGY9SW,01K7F8GS4KEXBBHE4QJYGMFK3D,,https://www.gramo.no/toppoppgaver,mobile,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,"Musiker / Artist",,"Innholdet hjalp meg ikke å forstå hva jeg skulle gjøre",,"Ingen alternativ passer",
"14. Aug 2025 14:09:40",01K2MC8Z2YFD7AZW8EYKZVFJM2,01K2MEM8FBJ71JFC5Z9EZMKAQN,,https://www.gramo.no/toppoppgaver,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,,,,,,,
"09. Jun 2025 23:23:40",01JXBFRY3GWJG7VXESW01X156G,01JXBG392G9ECBGKW0MYT1F4RB,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,false,Plateselskap,,"Innholdet hjalp meg ikke å forstå hva jeg skulle gjøre",,"Jeg tar kontakt med Gramo",
"24. Jun 2025 10:10:52",01JYGP76150039WEB3HTW1FADB,01JYGPPAAN2G9RNAY26D0ASEWJ,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,false,"Musiker / Artist som gir ut musikk selv",,,,,
"30. Aug 2025 16:25:11",01K3PB28QV1ZVY3TRQX6FP32AX,01K3XWQN91P3K2K7MJWSB5RC4K,,https://www.gramo.no/toppoppgaver,desktop,"Finne veiledning og svar på spørsmål",Annet,"Hei. Jeg ønsker å registrere meg som master eier i tillegg til utøver. Hvordan gjør jeg det??",false,"Musiker / Artist som gir ut musikk selv",,"Jeg fant ikke det jeg lette etter",,"Ingen alternativ passer",
"25. Jun 2025 15:22:07",01JYKTK7DGN0C4JJ562W3ETH17,01JYKTWQ8WDCHR8JY3MRHE26CG,"Opprette bruker",https://www.gramo.no/toppoppgaver,desktop,Annet,Annet,"Opprette bruker som en del av plateselskap som allerede er registrert.",false,Plateselskap,,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo",
"09. Nov 2025 10:33:18",,01K9M2TKKQ32PHM6D7QFZ6VGQB,,https://www.gramo.no/toppoppgaver,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,"Musiker / Artist",,,,,
"29. Jul 2025 12:01:06",01K1B0TT344HPVK54Z9VM5VRSN,01K1B0X758ZARMKH6WJH1QGS2J,,https://www.gramo.no/toppoppgaver,unknown,"Ordne med ISRC-koder",Annet,"Jeg kom for å forstå hva ISRC var, og bli medlem",,,,,,,
"20. May 2025 09:09:24",01JVPDKTWWXW1EPCAXP02P52GR,01JVPF8FSS6X2G8K8M36HFBW2S,,https://www.gramo.no/toppoppgaver,mobile,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,,,,,,,
"30. Oct 2025 06:48:07",,01K8SXYGWM2TK86J3AXNFP6ETX,"Registrere meg",https://www.gramo.no/toppoppgaver,desktop,Annet,Annet,"Registrere meg",true,Annet,Mastereier/produsent,,,,
"28. Oct 2025 11:41:10",,01K8N9Y2C0A8BR6DAE1V556N9Z,,https://www.gramo.no/toppoppgaver,desktop,"Kontakte Gramo",Annet,"Finne kontakt info til Gramo",false,,,,,,
"21. Oct 2025 14:13:07",,01K83HVC1R23Y75GEJ2DRMCR8M,,https://www.gramo.no/toppoppgaver,null,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,false,"Musiker / Artist",,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo",
"12. Sep 2025 10:36:44",01K4YPPZT6FW64M36XQPV1A70H,01K4YQYXTT2CHHW9JV5TZAKX87,,https://www.gramo.no/toppoppgaver,desktop,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,,,,,,,
"27. Aug 2025 21:29:55",01K3PPQA3019WEJ6Q1PXDWHXD8,01K3PPZN9MGB9GE178JJC27DDD,,https://www.gramo.no/toppoppgaver,mobile,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,false,"Musiker / Artist som gir ut musikk selv",,"Jeg fant ikke det jeg lette etter",,"Jeg prøver igjen senere","Merkelig at sangene mine er avspilt, men at jeg ikke kan se utbetalinger…"
"14. Oct 2025 11:15:58",01K7H6VG5J9BMRBJ2Y1HT9D0JE,01K7H6Y5VGXBJZ5B6WER2CJS3B,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,true,"Musiker / Artist som gir ut musikk selv",,,,,
"30. Sep 2025 07:17:08",01K6CP0MRTXK02KGPRFWFHBHKJ,01K6CQPPWRTY18FTZJD3FTWCPA,,https://www.gramo.no/toppoppgaver,unknown,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,false,Plateselskap,,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo","Finner ikke saldo, hvor mye jeg har til gode i Gramo."
"05. Sep 2025 10:47:39",01K4CQ4FF2RTZ4HNGXVB86ADVC,01K4CQT7KJ80D6B45XVTBA6ZE6,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist",,Annet,"Finner ikke noe sted å registerere utøver på. Har registrert ny utgivelse ""Mysterium"" på Ingrooves Distribusjon og som produsent på Gramo. Men jeg må jo legge til utøverne også! Hentes dette via API med Ingrooves?",,
"20. Aug 2025 18:15:28",01K34B20Z0N055SEE5K58H6Z89,01K34B2140EP53QF07E0TYTR4G,,https://www.gramo.no/toppoppgaver,unknown,"Registrere rettighetskrav","Registrere rettighetskrav",,false,"Musiker / Artist",,,,,
"10. Aug 2025 19:01:39",01K2ANHK6ARXXNNB5K33BX1BEW,01K2ANR3B8PTG164NVW6D0AAQG,,https://www.gramo.no/toppoppgaver,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,true,"Musiker / Artist",,,,,
"27. Aug 2025 09:33:18",01K3NDS0Y9MKPYP0T2972MRQ71,01K3NDZEVN04ZPTWNNBTEV8TB3,,https://www.gramo.no/toppoppgaver,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,,,,,,
"24. May 2025 11:54:54",01JW10A6H7Z9E4QXDXEQ6MYW1T,01JW12AJYK6TNHS7NRMAQYG7Z2,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist som gir ut musikk selv",,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo",
"29. Aug 2025 06:55:04",01K3T9H56CDN5H34R1D2CCN2ER,01K3T9PZNPT1B4HNFQ56Z113DJ,,https://www.gramo.no/toppoppgaver,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,false,,,,,,
"17. Nov 2025 22:44:58",,01KA9ZW2VD4RXCY334YDBK8Z4M,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist",,"Innholdet hjalp meg ikke å forstå hva jeg skulle gjøre",,"Ingen alternativ passer",
"17. Nov 2025 14:47:37",,01KA94H0J8CS5GFMD9DHSDDAPK,,https://www.gramo.no/toppoppgaver,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,true,"Musiker / Artist som gir ut musikk selv",,,,,"mye å forholde seg til, kommer nok innom for å sjekke senere"
"12. Oct 2025 13:40:19",01K7CA7K69C1KDNMF4NQX6RZWD,01K7CACKCGFX312ZETDV4RQ973,,https://www.gramo.no/toppoppgaver,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,true,"Musiker / Artist som gir ut musikk selv",,,,,
"05. Sep 2025 19:10:02",01K4DMHWTCAWPQEC9F1K2442KX,01K4DMHX4CJBRGRZZPNVFEWKVT,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke pris for musikkbruk","Sjekke pris for musikkbruk",,false,Radio,,"Innholdet var vanskelig å forstå",,"Jeg prøver igjen senere",
"03. Jun 2025 12:11:15",01JVYS9C2PCBTD7XCN9PQ8WK5D,01JWTV7Q6NE4QQHFBF7ZN5C0MS,,https://www.gramo.no/toppoppgaver,mobile,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist som gir ut musikk selv",,Annet,"Dette er nytt slik at jeg bruker litt tid ","Jeg tar kontakt med Gramo",
"07. Nov 2025 15:21:21",,01K9FEGPKJV0KH6NET2E5TJQSE,,https://www.gramo.no/toppoppgaver,desktop,Annet,Annet,"har dere noen støtteordninger for artister som vil gi ut musikk?",false,"Musiker / Artist som gir ut musikk selv",,,,,
"12. Oct 2025 12:38:58",01K7C6NCWKGFFPS35YRAMHXCPT,01K7C6WQTG9W8EXH0BQC5JTD6A,,https://www.gramo.no/toppoppgaver,desktop,Annet,Annet,"slutte å betale for musikkbruk",false,Annet,"slutte å betale for musikkbruk i lokale","Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo",
"26. Sep 2025 13:14:55",01K62HM0PCPXMNC5ZM8HQ0E5CN,01K632JZFYD08QKRM33P86G2FX,,https://www.gramo.no/toppoppgaver,desktop,"Registrere rettighetskrav","Registrere rettighetskrav",,,,,,,,
"20. Aug 2025 11:49:17",01K33MZBTRDDSG392VXDZTSG13,01K33MZC7AX6N73EB722J320VF,,https://www.gramo.no/toppoppgaver,mobile,"Kontakte Gramo",Annet,"Kontaktliste hos dere:)",true,Annet,Privatperson,,,,
"12. Aug 2025 13:48:49",01K2F7YQV52Y7J950A1GR8VJ42,01K2F8MR6WA071QEKV4KDVT8ED,,https://www.gramo.no/toppoppgaver,desktop,"Finne veiledning og svar på spørsmål",Annet,"Finne kontaktinformasjon til ansatt som kan svare på spørsmål om bransjepraksis for kreditering",true,Annet,"Advokat i Norsk Journalistlag",,,,"Fikk god tilbakemelding fra Gramo i en sak på vegne av artist"
"31. Aug 2025 20:05:04",01K3X89KK9GG0K5X511NKMJD2C,01K40VPKY8JZ7N6GHRB9X5YWXF,,https://www.gramo.no/toppoppgaver,unknown,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,false,"Musiker / Artist som gir ut musikk selv",,"Jeg fant ikke det jeg lette etter",,"Ingen alternativ passer","Det er vanskelig å finne ut hvordan man registrerer nye utgivelser hos dere"
"15. Oct 2025 09:14:26",01K7KJ98RXTPSR3BP551E61QHJ,01K7KJC3TPNCFMTYEN0MP6SAJ7,,https://www.gramo.no/toppoppgaver,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,false,Annet,"Mastering engineer","Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo",
"21. May 2025 07:13:50",01JVRV1ETFRZMSRATCXFN2AE3A,01JVRV1F87T39YKCF1QQ1NAFMX,Årsmøte,https://www.gramo.no/toppoppgaver,mobile,Annet,Annet,Gramofullmakt,false,"Musiker / Artist",,Annet,,,
"04. Jun 2025 07:45:34",01JWWY3WT1WD8AJKJ30CB31KY7,01JWWYDZNFF5M7KZY44R99RWH7,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist som gir ut musikk selv",,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo",
"26. Oct 2025 16:21:12",,01K8GN5F7N1NEYM541ZHSMG8F1,,https://www.gramo.no/toppoppgaver,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,false,"Musiker / Artist",,"Jeg fant ikke det jeg lette etter",,"Ingen alternativ passer",
"13. Jul 2025 18:52:56",01K02FV5JBAMZ7XZRAYKBM23C9,01K02J3MMV3PP1R7C6F732TM5P,"Opprette bruker",https://www.gramo.no/toppoppgaver,desktop,Annet,Annet,"Har vært medlem i mange år og ønsker og registrere Min side.",false,"Musiker / Artist",,,,,
"09. Sep 2025 11:59:17",01K4Q4XK19SEZCCA54XM3FS720,01K4Q5G7AW69SN615Q49NWABY6,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse",Annet,"prøver finne katalognr til nye alumet til Ari Bajgora. Jeg spiller trommer på albumet og skal registrere",true,,,,,,
"05. Sep 2025 19:34:37",01JRKAQ5W85409J4Z3ZRNM7CNY,01K4DNZ4C0Y0P2D7CDQ657RHER,,https://www.gramo.no/toppoppgaver,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,true,Plateselskap,,,,,
"18. Aug 2025 20:46:40",01K2ZE2X2XSC2R517YAR0Z2YPP,01K2ZEY0YFCXW37FD5T6CBG5FT,,https://www.gramo.no/toppoppgaver,unknown,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,false,"Musiker / Artist",,"Jeg fant ikke det jeg lette etter",,,
"23. Sep 2025 13:26:33",01K5VBXPFFJT7B39QV87WTT3WS,01K5VC1S3W8GK4AMSAFFWZK6EK,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist som gir ut musikk selv",,Annet,,,
"02. Jul 2025 12:49:50",01JZ5JT1KX2CG0T0XPG8XSN03S,01JZ5JZ682S1DC31E4J2ZWXQM9,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist som gir ut musikk selv",,"Innholdet hjalp meg ikke å forstå hva jeg skulle gjøre",,"Jeg tar kontakt med Gramo",
"16. Jun 2025 13:57:55",01JXWGEQP5XDM1DB9RR6ZVVXJE,01JXWGFBZ5TX416X6011CMYGE8,,https://www.gramo.no/toppoppgaver,mobile,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,true,"Musiker / Artist",,,,,
"01. Oct 2025 10:36:33",01K6FNGBVPDYD3TZH438DX78DD,01K6FNGC605WN69PZ99T5E1Z5F,,https://www.gramo.no/toppoppgaver,mobile,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,false,"Musiker / Artist",,"Innholdet hjalp meg ikke å forstå hva jeg skulle gjøre",,"Jeg tar kontakt med Gramo",
"12. May 2025 14:46:30",01JV2FC47GMA3SS0D6D48STBTR,01JV2FC5437213E1D2ZSC7AT3F,,https://www.gramo.no/toppoppgaver,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,"Musiker / Artist",,"Jeg fant ikke det jeg lette etter",,,
"14. Aug 2025 14:58:44",01K2MH8MGAQ7RPBNQ3RVN32KJ0,01K2MHE4WYC2CCWR2PXB6VRTMN,,https://www.gramo.no/toppoppgaver,mobile,"Sjekke pris for musikkbruk","Sjekke pris for musikkbruk",,false,Annet,"Lærer for ungdomsskoleelever som har laget film som skoleoppgave","Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo","Jeg finner ikke ut av hvordan man skal gå frem for å få tillatelse til å bruke musikk i filmproduksjon i skoleoppgaver."
"04. Dec 2025 09:37:41",,01KBMBH51VP2JV616KPS0DNV0X,,https://www.gramo.no/toppoppgaver,desktop,Annet,Annet,,,,,,,,
"28. Sep 2025 11:42:11",01K67ZYSWSD1DZ8GCXY295F2N3,01K6822N49BQ7M1P7VRPXGF71E,,https://www.gramo.no/toppoppgaver,unknown,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,,,,,,
"06. May 2025 08:47:55",01JT41ZGEPEATMP1RG0WM9BMJH,01JTJCF722DGCFFRPX9VBS1MFC,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,true,"Musiker / Artist",,,,,"Ser det er flere låter som ligger dobbelt inne, også lurer jeg litt på forskjellen på ""releases"" og ""recordings""- kategoriene. Da jeg både er produsent og artist. "
"22. Nov 2025 18:50:23",,01KAPEAR9KX31Z19SJ1D5HR9D4,,https://www.gramo.no/toppoppgaver,mobile,"Registrere rettighetskrav","Registrere rettighetskrav",,false,"Musiker / Artist",,"Jeg fant ikke det jeg lette etter",,"Jeg finner en annen måte",
"14. May 2025 11:43:51",01JV78G64WNTK3Z45SBMX6NESY,01JV79PW5BHQJQTYRMGKFKKPAM,,https://www.gramo.no/toppoppgaver,mobile,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,true,,,,,,
"09. May 2025 16:28:33",01JTTWGX4AF5CK9YX22K6PBHZ8,01JTTY0N4C593RRZNGWVE3DJPA,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo",Annet,"registrere plateselskap",false,Plateselskap,,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo",
"09. May 2025 09:16:05",01JTT58ASX6MSBJPVJK0SVAS1B,01JTT58B3SG2XQ3CA4XA979S2A,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke pris for musikkbruk","Sjekke pris for musikkbruk",,,,,,,,
"28. Aug 2025 16:50:19",01K3RS6JMGRS0WHZNFYCHJ90TK,01K3RSCJ0ER0THEN7XCPGD50GJ,,https://www.gramo.no/toppoppgaver,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,"Musiker / Artist",,"Innholdet var vanskelig å forstå",,"Ingen alternativ passer",
"02. Jul 2025 18:54:06",01JZ678WQN8S32CKK4WW26S2T9,01JZ67TA5YK47Z0D8AEWY05FGJ,,https://www.gramo.no/toppoppgaver,desktop,"Registrere rettighetskrav","Registrere rettighetskrav",,false,,,,,,
"09. Jul 2025 10:33:40",01JZQ61GMFX79X0NH237ZFM68J,01JZQBXQ2ESQQ3KS78PN7RWG6W,,https://www.gramo.no/toppoppgaver,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,true,Annet,Produsent,,,,
"06. Nov 2025 22:07:18",,01K9DKAR9KT9VQFVSWE38T94MV,,https://www.gramo.no/toppoppgaver,desktop,"Registrere rettighetskrav","Registrere rettighetskrav",,false,Plateselskap,,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo",
"29. Oct 2025 11:29:18",,01K8QVMXKSP1NJRCJ30NBTY2RY,,https://www.gramo.no/toppoppgaver,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,true,"Musiker / Artist",,,,,
"27. Aug 2025 10:09:40",01K3NF5QY1JE7TH4SJ3BKXZB2H,01K3NG24PE2TFS3SMM6E67792K,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,,,,,,
"06. Jun 2025 12:22:17",01JX2EA89ACB4H1BN3T2WYJQZ5,01JX2K1YVEHC0X1TH3VC83W3QJ,,https://www.gramo.no/toppoppgaver,mobile,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,false,"Musiker / Artist som gir ut musikk selv",,"Jeg fant ikke det jeg lette etter",,"Jeg prøver igjen senere",
"04. Dec 2025 09:39:42",,01KBMBNWQZNSJE7PZMTN358C3J,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,false,"Musiker / Artist",,"Det oppstod tekniske problemer (innlogging, skjema, feil)",,"Jeg tar kontakt med Gramo",
"12. Nov 2025 13:46:29",,01K9W52HVDA48FCM9JC47G18B4,,https://www.gramo.no/toppoppgaver,desktop,Annet,Annet,,,,,,,,
"02. Jul 2025 12:51:07",01JZ5JP23B96H2KFBZ0JGHCG2Y,01JZ5K1J9NAN1976FS281JZ1Q1,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,Plateselskap,,"Jeg fant ikke det jeg lette etter",,,
"20. Aug 2025 18:39:14",01K34B79B16CAMFJC3PKPWX4Z1,01K34CDQBVB05TFXTDRFYD8ER7,,https://www.gramo.no/toppoppgaver,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,,,,,,,
"15. Jun 2025 18:35:59",01JWZH0X4S7MHNJWPXZ6RKEYQE,01JXTE0S7XGZBH7N8NYBA2S23P,,https://www.gramo.no/toppoppgaver,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,,,,,,
"05. Jun 2025 06:56:43",01JWZDMWWPP9ZFPXRNYVSRHXGJ,01JWZE0TER50N6WQPA64MPYD6A,,https://www.gramo.no/toppoppgaver,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,false,"Bedrift utenfor musikkbransjen",,Annet,,"Jeg tar kontakt med Gramo","veldig treg responstid hos dere"
"16. Jun 2025 12:34:24",01JXWBQ2A9PQD2VEGCTR16GPEZ,01JXWBQ2HBFHSKRZBC2XWRWK5W,,https://www.gramo.no/toppoppgaver,desktop,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,true,"Musiker / Artist",,,,,"Jeg ønsker bare god sommer! Takk! "
"17. Nov 2025 21:39:11",,01KA9W37WNHEM07WCRTDWMZDRN,,https://www.gramo.no/toppoppgaver,desktop,Annet,Annet,"JEg skal registrere et event som skal skje",false,Annet,provPrivat,,,,
"07. Nov 2025 17:29:36",,01K9FNV6B81VR21A5C0Z2DKG2D,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,false,"Musiker / Artist",,"Innholdet hjalp meg ikke å forstå hva jeg skulle gjøre",,"Jeg prøver igjen senere","Jeg vil registrere at jeg har medvirket på en plateinnspilling men har ikke opplysningene jeg trenger. Kan man ikke lenger søke opp innspillinger til en hovedartist og så registrere seg som medvirkende ""den veien""? Jeg har vært med på innspillinger med Oslo philharmonic orchestra de siste 2-3 årene uten å registrere det."
"03. Dec 2025 12:46:41",,01KBJ4019VTKF0RCFYTH2DB14X,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"07. Nov 2025 11:38:11",,01K9F1QYX94RAFMXWGZST8PEQB,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist som gir ut musikk selv",,,,,
"16. Sep 2025 19:21:55",01K59TQ9X54704SGSJPK01QYS7,01K59ZKXF8X4737T26P0AJE4TN,,https://www.gramo.no/toppoppgaver,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,"Musiker / Artist som gir ut musikk selv",,"Jeg fant ikke det jeg lette etter",,"Jeg dropper det","Jeg fikk masse info om ISRC-koder, men forstår fortsatt ikke hvordan jeg får en kode."
"13. Sep 2025 21:47:40",01K52GDRD23R4WPCQNXSBVXHGA,01K52GRCW4PXJ2PY0N63WH69XN,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist",,Annet,,,
"23. Jun 2025 20:54:02",01JYF90NKSB15ZJBHNHSZEGWSX,01JYF930DT46CA2HZ3DS04QY6J,,https://www.gramo.no/toppoppgaver,mobile,"Sjekke eller oppdatere kontaktinformasjon","Sjekke eller oppdatere kontaktinformasjon",,false,"Musiker / Artist som gir ut musikk selv",,"Jeg fant ikke det jeg lette etter",,,
"05. Jul 2025 01:55:42",01JZC4QH6R0B1N0ZGQBR9RJNFK,01JZC4QHG38D7W9Z9HE2XG57S2,,https://www.gramo.no/toppoppgaver,desktop,Annet,Annet,,,,,,,,
"09. Oct 2025 18:01:06",01K7516AXZA6A8SYP2MCZA3TNC,01K7524BJHY0MH8T4915KH6B13,,https://www.gramo.no/toppoppgaver,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,true,,,,,,
"27. Oct 2025 13:24:47",,01K8JXF9X14QF13ETZRMFR0NMH,,https://www.gramo.no/toppoppgaver,mobile,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,true,"Musiker / Artist som gir ut musikk selv",,,,,
"22. Jun 2025 10:41:43",01JYBKFSBYF61X9W9YT66T3BW8,01JYBKNAXZFMTSA65F1R5W3ZFJ,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,false,"Musiker / Artist som gir ut musikk selv",,"Jeg fant ikke det jeg lette etter",,"Jeg prøver igjen senere",
"21. Sep 2025 15:52:05",01K5PF4HTKD0Z2QXDJNVWP4DWP,01K5PFK6MVR08Q7M8JT1NNK4G3,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,false,Manager,,"Jeg fant ikke det jeg lette etter",,"Ingen alternativ passer","Det kunne vært enda tydeligere hva som skjer når verk er registrert, men ikke synes når utålmodige musikere søker for å se om de er registert.  "
"07. Oct 2025 12:24:18",01K6Z9SAQ5CQ2ATD645JBQW2WT,01K6ZA27A6AZV26JEFAM8TTS1A,,https://www.gramo.no/toppoppgaver,desktop,"Registrere rettighetskrav","Registrere rettighetskrav",,,,,,,,
"20. Nov 2025 13:18:17",,01KAGPMGBZ6MC0CH3R98JTTC0X,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke pris for musikkbruk","Sjekke pris for musikkbruk",,false,"Bedrift utenfor musikkbransjen",,"Innholdet hjalp meg ikke å forstå hva jeg skulle gjøre",,"Ingen alternativ passer","Fant ikke det jeg lette etter og prøvde derfor å ringe. Fikk ikke svar på telefon."
"24. Aug 2025 23:10:04",01K3F4QCFQAT9K2JR70YA5M7RD,01K3F5GTCK4S8C18CWXC01YZA6,,https://www.gramo.no/toppoppgaver,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,Plateselskap,,"Jeg fant ikke det jeg lette etter",,,
